Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2012 October,Dublin - apartments,Base Jan 2005 = 100,47.7
Residential Property Price Index,2012 November,National - all residential properties,Base Jan 2005 = 100,61.1
Residential Property Price Index,2012 November,National - houses,Base Jan 2005 = 100,63.6
Residential Property Price Index,2012 November,National - apartments,Base Jan 2005 = 100,45.9
Residential Property Price Index,2012 November,Dublin - all residential properties,Base Jan 2005 = 100,58.4
Residential Property Price Index,2012 November,Dublin - houses,Base Jan 2005 = 100,61.9
Residential Property Price Index,2012 November,Dublin - apartments,Base Jan 2005 = 100,47.7
Residential Property Price Index,2012 December,National - all residential properties,Base Jan 2005 = 100,61.3
Residential Property Price Index,2012 December,National - houses,Base Jan 2005 = 100,63.9
Residential Property Price Index,2012 December,National - apartments,Base Jan 2005 = 100,46.2
Residential Property Price Index,2012 December,Dublin - all residential properties,Base Jan 2005 = 100,59.1
Residential Property Price Index,2012 December,Dublin - houses,Base Jan 2005 = 100,62.8
Residential Property Price Index,2012 December,Dublin - apartments,Base Jan 2005 = 100,47.9
Residential Property Price Index,2013 January,National - all residential properties,Base Jan 2005 = 100,60.2
Residential Property Price Index,2013 January,National - houses,Base Jan 2005 = 100,62.5
Residential Property Price Index,2013 January,National - apartments,Base Jan 2005 = 100,46.9
Residential Property Price Index,2013 January,Dublin - all residential properties,Base Jan 2005 = 100,58.6
Residential Property Price Index,2013 January,Dublin - houses,Base Jan 2005 = 100,62
Residential Property Price Index,2013 January,Dublin - apartments,Base Jan 2005 = 100,48.4
Residential Property Price Index,2013 February,National - all residential properties,Base Jan 2005 = 100,59.5
Residential Property Price Index,2013 February,National - houses,Base Jan 2005 = 100,61.8
Residential Property Price Index,2013 February,National - apartments,Base Jan 2005 = 100,47.1
Residential Property Price Index,2013 February,Dublin - all residential properties,Base Jan 2005 = 100,57.6
Residential Property Price Index,2013 February,Dublin - houses,Base Jan 2005 = 100,60.9
Residential Property Price Index,2013 February,Dublin - apartments,Base Jan 2005 = 100,48.2
Residential Property Price Index,2013 March,National - all residential properties,Base Jan 2005 = 100,58.7
Residential Property Price Index,2013 March,National - houses,Base Jan 2005 = 100,60.9
Residential Property Price Index,2013 March,National - apartments,Base Jan 2005 = 100,46.9
Residential Property Price Index,2013 March,Dublin - all residential properties,Base Jan 2005 = 100,57.2
Residential Property Price Index,2013 March,Dublin - houses,Base Jan 2005 = 100,60.5
Residential Property Price Index,2013 March,Dublin - apartments,Base Jan 2005 = 100,48
Residential Property Price Index,2013 April,National - all residential properties,Base Jan 2005 = 100,59
Residential Property Price Index,2013 April,National - houses,Base Jan 2005 = 100,61.3
Residential Property Price Index,2013 April,National - apartments,Base Jan 2005 = 100,46.8
Residential Property Price Index,2013 April,Dublin - all residential properties,Base Jan 2005 = 100,57.9
Residential Property Price Index,2013 April,Dublin - houses,Base Jan 2005 = 100,61.3
Residential Property Price Index,2013 April,Dublin - apartments,Base Jan 2005 = 100,47.9
Residential Property Price Index,2013 May,National - all residential properties,Base Jan 2005 = 100,59
Residential Property Price Index,2013 May,National - houses,Base Jan 2005 = 100,61.3
Residential Property Price Index,2013 May,National - apartments,Base Jan 2005 = 100,46.9
Residential Property Price Index,2013 May,Dublin - all residential properties,Base Jan 2005 = 100,58.3
Residential Property Price Index,2013 May,Dublin - houses,Base Jan 2005 = 100,61.8
Residential Property Price Index,2013 May,Dublin - apartments,Base Jan 2005 = 100,48
Residential Property Price Index,2013 June,National - all residential properties,Base Jan 2005 = 100,60.5
Residential Property Price Index,2013 June,National - houses,Base Jan 2005 = 100,62.9
Residential Property Price Index,2013 June,National - apartments,Base Jan 2005 = 100,47.1
Residential Property Price Index,2013 June,Dublin - all residential properties,Base Jan 2005 = 100,60.4
Residential Property Price Index,2013 June,Dublin - houses,Base Jan 2005 = 100,64.2
Residential Property Price Index,2013 June,Dublin - apartments,Base Jan 2005 = 100,48.6
Residential Property Price Index,2013 July,National - all residential properties,Base Jan 2005 = 100,62
Residential Property Price Index,2013 July,National - houses,Base Jan 2005 = 100,64.5
Residential Property Price Index,2013 July,National - apartments,Base Jan 2005 = 100,47.4
Residential Property Price Index,2013 July,Dublin - all residential properties,Base Jan 2005 = 100,62.6
Residential Property Price Index,2013 July,Dublin - houses,Base Jan 2005 = 100,66.8
Residential Property Price Index,2013 July,Dublin - apartments,Base Jan 2005 = 100,49.1
Residential Property Price Index,2013 August,National - all residential properties,Base Jan 2005 = 100,62.8
Residential Property Price Index,2013 August,National - houses,Base Jan 2005 = 100,65.5
Residential Property Price Index,2013 August,National - apartments,Base Jan 2005 = 100,47.6
Residential Property Price Index,2013 August,Dublin - all residential properties,Base Jan 2005 = 100,64.2
Residential Property Price Index,2013 August,Dublin - houses,Base Jan 2005 = 100,68.7
Residential Property Price Index,2013 August,Dublin - apartments,Base Jan 2005 = 100,49.4
Residential Property Price Index,2013 September,National - all residential properties,Base Jan 2005 = 100,63.8
Residential Property Price Index,2013 September,National - houses,Base Jan 2005 = 100,66.6
Residential Property Price Index,2013 September,National - apartments,Base Jan 2005 = 100,47.6
Residential Property Price Index,2013 September,Dublin - all residential properties,Base Jan 2005 = 100,65.3
Residential Property Price Index,2013 September,Dublin - houses,Base Jan 2005 = 100,70
Residential Property Price Index,2013 September,Dublin - apartments,Base Jan 2005 = 100,49.8
Residential Property Price Index,2013 October,National - all residential properties,Base Jan 2005 = 100,64.2
Residential Property Price Index,2013 October,National - houses,Base Jan 2005 = 100,67
Residential Property Price Index,2013 October,National - apartments,Base Jan 2005 = 100,48
Residential Property Price Index,2013 October,Dublin - all residential properties,Base Jan 2005 = 100,65.7
Residential Property Price Index,2013 October,Dublin - houses,Base Jan 2005 = 100,70.3
Residential Property Price Index,2013 October,Dublin - apartments,Base Jan 2005 = 100,50.4
Residential Property Price Index,2013 November,National - all residential properties,Base Jan 2005 = 100,64.5
Residential Property Price Index,2013 November,National - houses,Base Jan 2005 = 100,67.2
Residential Property Price Index,2013 November,National - apartments,Base Jan 2005 = 100,48.6
Residential Property Price Index,2013 November,Dublin - all residential properties,Base Jan 2005 = 100,66.5
Residential Property Price Index,2013 November,Dublin - houses,Base Jan 2005 = 100,70.9
Residential Property Price Index,2013 November,Dublin - apartments,Base Jan 2005 = 100,51.9
Residential Property Price Index,2013 December,National - all residential properties,Base Jan 2005 = 100,65.3
Residential Property Price Index,2013 December,National - houses,Base Jan 2005 = 100,68
Residential Property Price Index,2013 December,National - apartments,Base Jan 2005 = 100,49.4
Residential Property Price Index,2013 December,Dublin - all residential properties,Base Jan 2005 = 100,67.3
Residential Property Price Index,2013 December,Dublin - houses,Base Jan 2005 = 100,71.9
Residential Property Price Index,2013 December,Dublin - apartments,Base Jan 2005 = 100,52.7
Residential Property Price Index,2014 January,National - all residential properties,Base Jan 2005 = 100,65.4
Residential Property Price Index,2014 January,National - houses,Base Jan 2005 = 100,67.9
Residential Property Price Index,2014 January,National - apartments,Base Jan 2005 = 100,50.4
Residential Property Price Index,2014 January,Dublin - all residential properties,Base Jan 2005 = 100,67.6
Residential Property Price Index,2014 January,Dublin - houses,Base Jan 2005 = 100,71.8
Residential Property Price Index,2014 January,Dublin - apartments,Base Jan 2005 = 100,54.4
Residential Property Price Index,2014 February,National - all residential properties,Base Jan 2005 = 100,65.6
Residential Property Price Index,2014 February,National - houses,Base Jan 2005 = 100,68.1
Residential Property Price Index,2014 February,National - apartments,Base Jan 2005 = 100,51
Residential Property Price Index,2014 February,Dublin - all residential properties,Base Jan 2005 = 100,68
Residential Property Price Index,2014 February,Dublin - houses,Base Jan 2005 = 100,72.2
Residential Property Price Index,2014 February,Dublin - apartments,Base Jan 2005 = 100,54.5
Residential Property Price Index,2014 March,National - all residential properties,Base Jan 2005 = 100,66.1
Residential Property Price Index,2014 March,National - houses,Base Jan 2005 = 100,68.5
Residential Property Price Index,2014 March,National - apartments,Base Jan 2005 = 100,51.8
Residential Property Price Index,2014 March,Dublin - all residential properties,Base Jan 2005 = 100,69
Residential Property Price Index,2014 March,Dublin - houses,Base Jan 2005 = 100,73.4
Residential Property Price Index,2014 March,Dublin - apartments,Base Jan 2005 = 100,55.4
Residential Property Price Index,2014 April,National - all residential properties,Base Jan 2005 = 100,67.5
Residential Property Price Index,2014 April,National - houses,Base Jan 2005 = 100,70
Residential Property Price Index,2014 April,National - apartments,Base Jan 2005 = 100,52.7
Residential Property Price Index,2014 April,Dublin - all residential properties,Base Jan 2005 = 100,71
Residential Property Price Index,2014 April,Dublin - houses,Base Jan 2005 = 100,75.6
Residential Property Price Index,2014 April,Dublin - apartments,Base Jan 2005 = 100,56.5
Residential Property Price Index,2014 May,National - all residential properties,Base Jan 2005 = 100,69.3
Residential Property Price Index,2014 May,National - houses,Base Jan 2005 = 100,71.8
Residential Property Price Index,2014 May,National - apartments,Base Jan 2005 = 100,54.3
Residential Property Price Index,2014 May,Dublin - all residential properties,Base Jan 2005 = 100,73.6
Residential Property Price Index,2014 May,Dublin - houses,Base Jan 2005 = 100,78.2
Residential Property Price Index,2014 May,Dublin - apartments,Base Jan 2005 = 100,58.7
Residential Property Price Index,2014 June,National - all residential properties,Base Jan 2005 = 100,71.3
Residential Property Price Index,2014 June,National - houses,Base Jan 2005 = 100,73.9
Residential Property Price Index,2014 June,National - apartments,Base Jan 2005 = 100,55.7
Residential Property Price Index,2014 June,Dublin - all residential properties,Base Jan 2005 = 100,76.6
Residential Property Price Index,2014 June,Dublin - houses,Base Jan 2005 = 100,81.6
Residential Property Price Index,2014 June,Dublin - apartments,Base Jan 2005 = 100,60.5
Residential Property Price Index,2014 July,National - all residential properties,Base Jan 2005 = 100,73.5
Residential Property Price Index,2014 July,National - houses,Base Jan 2005 = 100,76.2
Residential Property Price Index,2014 July,National - apartments,Base Jan 2005 = 100,57.3
Residential Property Price Index,2014 July,Dublin - all residential properties,Base Jan 2005 = 100,79.7
Residential Property Price Index,2014 July,Dublin - houses,Base Jan 2005 = 100,85.1
Residential Property Price Index,2014 July,Dublin - apartments,Base Jan 2005 = 100,62.1
Residential Property Price Index,2014 August,National - all residential properties,Base Jan 2005 = 100,74.9
Residential Property Price Index,2014 August,National - houses,Base Jan 2005 = 100,77.5
Residential Property Price Index,2014 August,National - apartments,Base Jan 2005 = 100,59.5
Residential Property Price Index,2014 August,Dublin - all residential properties,Base Jan 2005 = 100,81.5
Residential Property Price Index,2014 August,Dublin - houses,Base Jan 2005 = 100,86.6
Residential Property Price Index,2014 August,Dublin - apartments,Base Jan 2005 = 100,65.1
Residential Property Price Index,2014 September,National - all residential properties,Base Jan 2005 = 100,76.5
Residential Property Price Index,2014 September,National - houses,Base Jan 2005 = 100,78.8
Residential Property Price Index,2014 September,National - apartments,Base Jan 2005 = 100,62
Residential Property Price Index,2014 September,Dublin - all residential properties,Base Jan 2005 = 100,83.5
Residential Property Price Index,2014 September,Dublin - houses,Base Jan 2005 = 100,88.1
Residential Property Price Index,2014 September,Dublin - apartments,Base Jan 2005 = 100,68.7
Residential Property Price Index,2014 October,National - all residential properties,Base Jan 2005 = 100,77.3
Residential Property Price Index,2014 October,National - houses,Base Jan 2005 = 100,79.7
Residential Property Price Index,2014 October,National - apartments,Base Jan 2005 = 100,63.4
Residential Property Price Index,2014 October,Dublin - all residential properties,Base Jan 2005 = 100,84
Residential Property Price Index,2014 October,Dublin - houses,Base Jan 2005 = 100,88.5
Residential Property Price Index,2014 October,Dublin - apartments,Base Jan 2005 = 100,70.1
Residential Property Price Index,2014 November,National - all residential properties,Base Jan 2005 = 100,77.6
Residential Property Price Index,2014 November,National - houses,Base Jan 2005 = 100,80
Residential Property Price Index,2014 November,National - apartments,Base Jan 2005 = 100,64.3
Residential Property Price Index,2014 November,Dublin - all residential properties,Base Jan 2005 = 100,83.8
Residential Property Price Index,2014 November,Dublin - houses,Base Jan 2005 = 100,88.4
Residential Property Price Index,2014 November,Dublin - apartments,Base Jan 2005 = 100,70.4
Residential Property Price Index,2014 December,National - all residential properties,Base Jan 2005 = 100,77
Residential Property Price Index,2014 December,National - houses,Base Jan 2005 = 100,79.5
Residential Property Price Index,2014 December,National - apartments,Base Jan 2005 = 100,64.6
Residential Property Price Index,2014 December,Dublin - all residential properties,Base Jan 2005 = 100,82.6
Residential Property Price Index,2014 December,Dublin - houses,Base Jan 2005 = 100,87.2
Residential Property Price Index,2014 December,Dublin - apartments,Base Jan 2005 = 100,69.8
Residential Property Price Index,2015 January,National - all residential properties,Base Jan 2005 = 100,77.3
Residential Property Price Index,2015 January,National - houses,Base Jan 2005 = 100,79.8
Residential Property Price Index,2015 January,National - apartments,Base Jan 2005 = 100,65.1
Residential Property Price Index,2015 January,Dublin - all residential properties,Base Jan 2005 = 100,83
Residential Property Price Index,2015 January,Dublin - houses,Base Jan 2005 = 100,87.5
Residential Property Price Index,2015 January,Dublin - apartments,Base Jan 2005 = 100,70.1
Residential Property Price Index,2015 February,National - all residential properties,Base Jan 2005 = 100,77
Residential Property Price Index,2015 February,National - houses,Base Jan 2005 = 100,79.7
Residential Property Price Index,2015 February,National - apartments,Base Jan 2005 = 100,64.6
Residential Property Price Index,2015 February,Dublin - all residential properties,Base Jan 2005 = 100,82.6
Residential Property Price Index,2015 February,Dublin - houses,Base Jan 2005 = 100,87.4
Residential Property Price Index,2015 February,Dublin - apartments,Base Jan 2005 = 100,68.9
Residential Property Price Index,2015 March,National - all residential properties,Base Jan 2005 = 100,77.3
Residential Property Price Index,2015 March,National - houses,Base Jan 2005 = 100,80.1
Residential Property Price Index,2015 March,National - apartments,Base Jan 2005 = 100,63.9
Residential Property Price Index,2015 March,Dublin - all residential properties,Base Jan 2005 = 100,82.5
Residential Property Price Index,2015 March,Dublin - houses,Base Jan 2005 = 100,88.1
Residential Property Price Index,2015 March,Dublin - apartments,Base Jan 2005 = 100,66.4
Residential Property Price Index,2015 April,National - all residential properties,Base Jan 2005 = 100,77.9
Residential Property Price Index,2015 April,National - houses,Base Jan 2005 = 100,80.8
Residential Property Price Index,2015 April,National - apartments,Base Jan 2005 = 100,63.5
Residential Property Price Index,2015 April,Dublin - all residential properties,Base Jan 2005 = 100,82.6
Residential Property Price Index,2015 April,Dublin - houses,Base Jan 2005 = 100,88.1
Residential Property Price Index,2015 April,Dublin - apartments,Base Jan 2005 = 100,66.2
Residential Property Price Index,2015 May,National - all residential properties,Base Jan 2005 = 100,78.8
Residential Property Price Index,2015 May,National - houses,Base Jan 2005 = 100,81.7
Residential Property Price Index,2015 May,National - apartments,Base Jan 2005 = 100,63.7
Residential Property Price Index,2015 May,Dublin - all residential properties,Base Jan 2005 = 100,83.2
Residential Property Price Index,2015 May,Dublin - houses,Base Jan 2005 = 100,88.3
Residential Property Price Index,2015 May,Dublin - apartments,Base Jan 2005 = 100,67
Residential Property Price Index,2015 June,National - all residential properties,Base Jan 2005 = 100,80.1
Residential Property Price Index,2015 June,National - houses,Base Jan 2005 = 100,82.8
Residential Property Price Index,2015 June,National - apartments,Base Jan 2005 = 100,64.4
Residential Property Price Index,2015 June,Dublin - all residential properties,Base Jan 2005 = 100,84.3
Residential Property Price Index,2015 June,Dublin - houses,Base Jan 2005 = 100,89.1
Residential Property Price Index,2015 June,Dublin - apartments,Base Jan 2005 = 100,68.7
Residential Property Price Index,2015 July,National - all residential properties,Base Jan 2005 = 100,80.7
Residential Property Price Index,2015 July,National - houses,Base Jan 2005 = 100,83.4
Residential Property Price Index,2015 July,National - apartments,Base Jan 2005 = 100,65
Residential Property Price Index,2015 July,Dublin - all residential properties,Base Jan 2005 = 100,84.7
Residential Property Price Index,2015 July,Dublin - houses,Base Jan 2005 = 100,89.3
Residential Property Price Index,2015 July,Dublin - apartments,Base Jan 2005 = 100,69.9
Residential Property Price Index,2015 August,National - all residential properties,Base Jan 2005 = 100,81.7
Residential Property Price Index,2015 August,National - houses,Base Jan 2005 = 100,84.3
Residential Property Price Index,2015 August,National - apartments,Base Jan 2005 = 100,65.7
Residential Property Price Index,2015 August,Dublin - all residential properties,Base Jan 2005 = 100,85.6
Residential Property Price Index,2015 August,Dublin - houses,Base Jan 2005 = 100,90.2
Residential Property Price Index,2015 August,Dublin - apartments,Base Jan 2005 = 100,70.7
Residential Property Price Index,2015 September,National - all residential properties,Base Jan 2005 = 100,82
Residential Property Price Index,2015 September,National - houses,Base Jan 2005 = 100,84.6
Residential Property Price Index,2015 September,National - apartments,Base Jan 2005 = 100,66.2
Residential Property Price Index,2015 September,Dublin - all residential properties,Base Jan 2005 = 100,85.5
Residential Property Price Index,2015 September,Dublin - houses,Base Jan 2005 = 100,90.1
Residential Property Price Index,2015 September,Dublin - apartments,Base Jan 2005 = 100,71.3
Residential Property Price Index,2015 October,National - all residential properties,Base Jan 2005 = 100,82.9
Residential Property Price Index,2015 October,National - houses,Base Jan 2005 = 100,85.5
Residential Property Price Index,2015 October,National - apartments,Base Jan 2005 = 100,67.3
Residential Property Price Index,2015 October,Dublin - all residential properties,Base Jan 2005 = 100,86.6
Residential Property Price Index,2015 October,Dublin - houses,Base Jan 2005 = 100,90.9
Residential Property Price Index,2015 October,Dublin - apartments,Base Jan 2005 = 100,73.1
Residential Property Price Index,2015 November,National - all residential properties,Base Jan 2005 = 100,82.6
Residential Property Price Index,2015 November,National - houses,Base Jan 2005 = 100,85.6
Residential Property Price Index,2015 November,National - apartments,Base Jan 2005 = 100,66.5
Residential Property Price Index,2015 November,Dublin - all residential properties,Base Jan 2005 = 100,86.2
Residential Property Price Index,2015 November,Dublin - houses,Base Jan 2005 = 100,91.4
Residential Property Price Index,2015 November,Dublin - apartments,Base Jan 2005 = 100,70.9
Residential Property Price Index,2015 December,National - all residential properties,Base Jan 2005 = 100,82.5
Residential Property Price Index,2015 December,National - houses,Base Jan 2005 = 100,85.5
Residential Property Price Index,2015 December,National - apartments,Base Jan 2005 = 100,66.3
Residential Property Price Index,2015 December,Dublin - all residential properties,Base Jan 2005 = 100,85.8
Residential Property Price Index,2015 December,Dublin - houses,Base Jan 2005 = 100,91
Residential Property Price Index,2015 December,Dublin - apartments,Base Jan 2005 = 100,70.2
Residential Property Price Index,2016 January,National - all residential properties,Base Jan 2005 = 100,83.2
Residential Property Price Index,2016 January,National - houses,Base Jan 2005 = 100,86.3
Residential Property Price Index,2016 January,National - apartments,Base Jan 2005 = 100,66.8
Residential Property Price Index,2016 January,Dublin - all residential properties,Base Jan 2005 = 100,87
Residential Property Price Index,2016 January,Dublin - houses,Base Jan 2005 = 100,92.3
Residential Property Price Index,2016 January,Dublin - apartments,Base Jan 2005 = 100,71
Residential Property Price Index,2016 February,National - all residential properties,Base Jan 2005 = 100,82.7
Residential Property Price Index,2016 February,National - houses,Base Jan 2005 = 100,85.6
Residential Property Price Index,2016 February,National - apartments,Base Jan 2005 = 100,66.9
Residential Property Price Index,2016 February,Dublin - all residential properties,Base Jan 2005 = 100,86.4
Residential Property Price Index,2016 February,Dublin - houses,Base Jan 2005 = 100,91.4
Residential Property Price Index,2016 February,Dublin - apartments,Base Jan 2005 = 100,70.9
Residential Property Price Index,2016 March,National - all residential properties,Base Jan 2005 = 100,83
Residential Property Price Index,2016 March,National - houses,Base Jan 2005 = 100,85.8
Residential Property Price Index,2016 March,National - apartments,Base Jan 2005 = 100,67.2
Residential Property Price Index,2016 March,Dublin - all residential properties,Base Jan 2005 = 100,86.6
Residential Property Price Index,2016 March,Dublin - houses,Base Jan 2005 = 100,91.7
Residential Property Price Index,2016 March,Dublin - apartments,Base Jan 2005 = 100,70.8
Residential Property Price Index,2016 April,National - all residential properties,Base Jan 2005 = 100,83.5
Residential Property Price Index,2016 April,National - houses,Base Jan 2005 = 100,86.2
Residential Property Price Index,2016 April,National - apartments,Base Jan 2005 = 100,68
Residential Property Price Index,2016 April,Dublin - all residential properties,Base Jan 2005 = 100,87.1
Residential Property Price Index,2016 April,Dublin - houses,Base Jan 2005 = 100,91.9
Residential Property Price Index,2016 April,Dublin - apartments,Base Jan 2005 = 100,72.1
Residential Property Price Index,2016 May,National - all residential properties,Base Jan 2005 = 100,83.7
Residential Property Price Index,2016 May,National - houses,Base Jan 2005 = 100,86.2
Residential Property Price Index,2016 May,National - apartments,Base Jan 2005 = 100,68.6
Residential Property Price Index,2016 May,Dublin - all residential properties,Base Jan 2005 = 100,86.8
Residential Property Price Index,2016 May,Dublin - houses,Base Jan 2005 = 100,91.3
Residential Property Price Index,2016 May,Dublin - apartments,Base Jan 2005 = 100,72.8
Residential Property Price Index,2016 June,National - all residential properties,Base Jan 2005 = 100,84.5
Residential Property Price Index,2016 June,National - houses,Base Jan 2005 = 100,87
Residential Property Price Index,2016 June,National - apartments,Base Jan 2005 = 100,69.7
Residential Property Price Index,2016 June,Dublin - all residential properties,Base Jan 2005 = 100,87
Residential Property Price Index,2016 June,Dublin - houses,Base Jan 2005 = 100,91.3
Residential Property Price Index,2016 June,Dublin - apartments,Base Jan 2005 = 100,73.6
Residential Property Price Index,2016 July,National - all residential properties,Base Jan 2005 = 100,86.4
Residential Property Price Index,2016 July,National - houses,Base Jan 2005 = 100,89.2
Residential Property Price Index,2016 July,National - apartments,Base Jan 2005 = 100,70
Residential Property Price Index,2016 July,Dublin - all residential properties,Base Jan 2005 = 100,88.1
Residential Property Price Index,2016 July,Dublin - houses,Base Jan 2005 = 100,92.9
Residential Property Price Index,2016 July,Dublin - apartments,Base Jan 2005 = 100,73.3
Residential Property Price Index,2016 August,National - all residential properties,Base Jan 2005 = 100,87.6
Residential Property Price Index,2016 August,National - houses,Base Jan 2005 = 100,90.5
Residential Property Price Index,2016 August,National - apartments,Base Jan 2005 = 100,70.8
Residential Property Price Index,2016 August,Dublin - all residential properties,Base Jan 2005 = 100,89.4
Residential Property Price Index,2016 August,Dublin - houses,Base Jan 2005 = 100,94.3
Residential Property Price Index,2016 August,Dublin - apartments,Base Jan 2005 = 100,74.4
Residential Property Price Index,2016 September,National - all residential properties,Base Jan 2005 = 100,88.6
Residential Property Price Index,2016 September,National - houses,Base Jan 2005 = 100,91.6
Residential Property Price Index,2016 September,National - apartments,Base Jan 2005 = 100,71.5
Residential Property Price Index,2016 September,Dublin - all residential properties,Base Jan 2005 = 100,90.8
Residential Property Price Index,2016 September,Dublin - houses,Base Jan 2005 = 100,95.7
Residential Property Price Index,2016 September,Dublin - apartments,Base Jan 2005 = 100,75.7
Residential Property Price Index,2016 October,National - all residential properties,Base Jan 2005 = 100,89.1
Residential Property Price Index,2016 October,National - houses,Base Jan 2005 = 100,92.1
Residential Property Price Index,2016 October,National - apartments,Base Jan 2005 = 100,71.9
Residential Property Price Index,2016 October,Dublin - all residential properties,Base Jan 2005 = 100,91
Residential Property Price Index,2016 October,Dublin - houses,Base Jan 2005 = 100,95.9
Residential Property Price Index,2016 October,Dublin - apartments,Base Jan 2005 = 100,76
Residential Property Price Index,2016 November,National - all residential properties,Base Jan 2005 = 100,90.2
Residential Property Price Index,2016 November,National - houses,Base Jan 2005 = 100,93.2
Residential Property Price Index,2016 November,National - apartments,Base Jan 2005 = 100,73.1
Residential Property Price Index,2016 November,Dublin - all residential properties,Base Jan 2005 = 100,92.1
Residential Property Price Index,2016 November,Dublin - houses,Base Jan 2005 = 100,96.8
Residential Property Price Index,2016 November,Dublin - apartments,Base Jan 2005 = 100,77.4
Residential Property Price Index,2016 December,National - all residential properties,Base Jan 2005 = 100,89.9
Residential Property Price Index,2016 December,National - houses,Base Jan 2005 = 100,93
Residential Property Price Index,2016 December,National - apartments,Base Jan 2005 = 100,72.8
Residential Property Price Index,2016 December,Dublin - all residential properties,Base Jan 2005 = 100,91.5
Residential Property Price Index,2016 December,Dublin - houses,Base Jan 2005 = 100,96.6
Residential Property Price Index,2016 December,Dublin - apartments,Base Jan 2005 = 100,76.3
Residential Property Price Index,2017 January,National - all residential properties,Base Jan 2005 = 100,90.5
Residential Property Price Index,2017 January,National - houses,Base Jan 2005 = 100,93.5
Residential Property Price Index,2017 January,National - apartments,Base Jan 2005 = 100,73.7
Residential Property Price Index,2017 January,Dublin - all residential properties,Base Jan 2005 = 100,92
Residential Property Price Index,2017 January,Dublin - houses,Base Jan 2005 = 100,97
Residential Property Price Index,2017 January,Dublin - apartments,Base Jan 2005 = 100,76.9
Residential Property Price Index,2017 February,National - all residential properties,Base Jan 2005 = 100,90.7
Residential Property Price Index,2017 February,National - houses,Base Jan 2005 = 100,93.8
Residential Property Price Index,2017 February,National - apartments,Base Jan 2005 = 100,73.8
Residential Property Price Index,2017 February,Dublin - all residential properties,Base Jan 2005 = 100,92.2
Residential Property Price Index,2017 February,Dublin - houses,Base Jan 2005 = 100,97.4
Residential Property Price Index,2017 February,Dublin - apartments,Base Jan 2005 = 100,76.6
Residential Property Price Index,2017 March,National - all residential properties,Base Jan 2005 = 100,91.1
Residential Property Price Index,2017 March,National - houses,Base Jan 2005 = 100,94.2
Residential Property Price Index,2017 March,National - apartments,Base Jan 2005 = 100,74
Residential Property Price Index,2017 March,Dublin - all residential properties,Base Jan 2005 = 100,92.8
Residential Property Price Index,2017 March,Dublin - houses,Base Jan 2005 = 100,98.3
Residential Property Price Index,2017 March,Dublin - apartments,Base Jan 2005 = 100,76.4
Residential Property Price Index,2017 April,National - all residential properties,Base Jan 2005 = 100,91.4
Residential Property Price Index,2017 April,National - houses,Base Jan 2005 = 100,94.6
Residential Property Price Index,2017 April,National - apartments,Base Jan 2005 = 100,74.1
Residential Property Price Index,2017 April,Dublin - all residential properties,Base Jan 2005 = 100,92.1
Residential Property Price Index,2017 April,Dublin - houses,Base Jan 2005 = 100,97.6
Residential Property Price Index,2017 April,Dublin - apartments,Base Jan 2005 = 100,75.6
Residential Property Price Index,2017 May,National - all residential properties,Base Jan 2005 = 100,92.8
Residential Property Price Index,2017 May,National - houses,Base Jan 2005 = 100,95.8
Residential Property Price Index,2017 May,National - apartments,Base Jan 2005 = 100,75.4
Residential Property Price Index,2017 May,Dublin - all residential properties,Base Jan 2005 = 100,94.5
Residential Property Price Index,2017 May,Dublin - houses,Base Jan 2005 = 100,99.7
Residential Property Price Index,2017 May,Dublin - apartments,Base Jan 2005 = 100,78
Residential Property Price Index,2017 June,National - all residential properties,Base Jan 2005 = 100,94.1
Residential Property Price Index,2017 June,National - houses,Base Jan 2005 = 100,97.2
Residential Property Price Index,2017 June,National - apartments,Base Jan 2005 = 100,75.9
Residential Property Price Index,2017 June,Dublin - all residential properties,Base Jan 2005 = 100,96.3
Residential Property Price Index,2017 June,Dublin - houses,Base Jan 2005 = 100,101.6
Residential Property Price Index,2017 June,Dublin - apartments,Base Jan 2005 = 100,79.2
Residential Property Price Index,2017 July,National - all residential properties,Base Jan 2005 = 100,96.4
Residential Property Price Index,2017 July,National - houses,Base Jan 2005 = 100,99.6
Residential Property Price Index,2017 July,National - apartments,Base Jan 2005 = 100,77.4
Residential Property Price Index,2017 July,Dublin - all residential properties,Base Jan 2005 = 100,98.5
Residential Property Price Index,2017 July,Dublin - houses,Base Jan 2005 = 100,103.9
Residential Property Price Index,2017 July,Dublin - apartments,Base Jan 2005 = 100,81.2
Residential Property Price Index,2017 August,National - all residential properties,Base Jan 2005 = 100,97.9
Residential Property Price Index,2017 August,National - houses,Base Jan 2005 = 100,101
Residential Property Price Index,2017 August,National - apartments,Base Jan 2005 = 100,79
Residential Property Price Index,2017 August,Dublin - all residential properties,Base Jan 2005 = 100,99.9
Residential Property Price Index,2017 August,Dublin - houses,Base Jan 2005 = 100,105.2
Residential Property Price Index,2017 August,Dublin - apartments,Base Jan 2005 = 100,83.2
Residential Property Price Index,2017 September,National - all residential properties,Base Jan 2005 = 100,99.2
Residential Property Price Index,2017 September,National - houses,Base Jan 2005 = 100,102.4
Residential Property Price Index,2017 September,National - apartments,Base Jan 2005 = 100,80
